test_name,scene,variable,value,render_mode,N,K,styles_per_object,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,p99_cpu_ms,max_cpu_ms,std_cpu_ms,mean_gpu_ms,median_gpu_ms,p95_gpu_ms,p99_gpu_ms,max_gpu_ms,std_gpu_ms
AreaScaling,TestScene3,Coverage,100,Fullscreen,32,32,32,19.454944,19.472167,19.768047,20.131612,24.086125,0.377999,54.162323,54.214104,55.598821,56.732571,57.318500,0.942615
AreaScaling,TestScene3,Coverage,100,CPU,32,32,32,19.459031,19.465687,19.791819,20.170267,21.315500,0.236773,54.284313,54.222604,56.508843,57.163805,58.761791,1.107673
AreaScaling,TestScene3,Coverage,100,GPU,32,32,32,19.276401,19.299438,19.580009,20.397815,22.961834,0.390610,53.451572,53.443104,54.910135,55.951457,56.782333,0.829923
AreaScaling,TestScene3,Coverage,0,Fullscreen,32,32,32,8.582571,9.060979,9.475315,9.605986,10.410833,0.693022,22.798756,22.782125,24.126358,25.027013,25.564958,0.915820
AreaScaling,TestScene3,Coverage,0,CPU,32,32,32,1.008340,0.971562,1.705442,2.248484,3.218167,0.342130,1.936978,1.813521,3.050076,3.248998,3.405374,0.492222
AreaScaling,TestScene3,Coverage,0,GPU,32,32,32,1.426630,1.310500,2.389418,2.873222,3.624292,0.428432,2.815270,2.646000,4.023062,4.197198,4.518750,0.611442
AreaScaling,TestScene3,Coverage,5,Fullscreen,32,32,32,9.062762,9.584167,9.876194,9.990472,13.977333,0.783236,24.257296,24.397250,25.779793,26.494497,26.685874,1.086125
AreaScaling,TestScene3,Coverage,5,CPU,32,32,32,2.332789,2.114792,3.691046,3.909798,4.031583,0.541466,5.555928,5.199458,6.793770,6.929085,7.025541,0.798467
AreaScaling,TestScene3,Coverage,5,GPU,32,32,32,2.279059,2.101500,3.473472,3.614332,3.829250,0.484514,5.108859,4.764208,6.230985,6.355683,6.421541,0.740662
AreaScaling,TestScene3,Coverage,80,Fullscreen,32,32,32,17.316620,17.321021,17.611664,19.076311,21.972375,0.525931,47.905815,47.932666,49.833694,50.434217,50.830083,1.030651
AreaScaling,TestScene3,Coverage,80,CPU,32,32,32,15.891908,15.953291,16.198881,16.361750,18.111917,0.382072,43.886328,43.985021,45.802008,46.393587,46.650000,1.096864
AreaScaling,TestScene3,Coverage,80,GPU,32,32,32,15.767814,15.801979,15.976904,17.018581,72.482166,2.706897,43.148047,43.367937,44.770304,45.488000,45.815874,1.774149
AreaScaling,TestScene3,Coverage,60,Fullscreen,32,32,32,15.191695,15.301500,15.671390,15.840359,16.138542,0.506767,41.705187,41.858791,43.279646,44.215584,44.593041,1.008209
AreaScaling,TestScene3,Coverage,60,CPU,32,32,32,12.256003,12.593167,12.785463,13.073226,16.635416,0.730854,33.489917,33.029208,35.261042,36.500802,36.771458,1.081991
AreaScaling,TestScene3,Coverage,60,GPU,32,32,32,12.209026,12.526688,12.812292,13.049402,14.255666,0.662284,33.123877,32.856604,34.747215,35.359895,36.195625,0.898020
AreaScaling,TestScene3,Coverage,20,Fullscreen,32,32,32,10.667220,11.117334,11.228819,11.327064,11.455666,0.656958,28.725716,28.736312,29.727243,30.519894,30.879875,0.600863
AreaScaling,TestScene3,Coverage,20,CPU,32,32,32,5.173614,4.562250,6.146561,6.485537,92.091209,3.957682,12.670857,12.779833,13.629308,14.067093,16.888291,0.680310
AreaScaling,TestScene3,Coverage,20,GPU,32,32,32,4.973233,4.541813,6.138119,6.351708,6.888917,0.697217,12.455124,12.577749,13.387414,13.785460,14.023875,0.619939
AreaScaling,TestScene3,Coverage,10,Fullscreen,32,32,32,9.590571,10.107833,10.292280,10.449499,11.082333,0.704846,25.682474,25.806521,26.785905,27.813553,28.109000,0.810010
AreaScaling,TestScene3,Coverage,10,CPU,32,32,32,3.158420,2.893876,4.336615,4.468473,4.632458,0.569400,7.400652,7.779542,8.326430,8.627437,9.064666,0.749859
AreaScaling,TestScene3,Coverage,10,GPU,32,32,32,3.170698,2.901604,4.416890,4.601667,4.894417,0.579146,7.507177,7.774041,8.477219,8.905579,9.021249,0.760315
AreaScaling,TestScene3,Coverage,40,Fullscreen,32,32,32,12.893992,13.173437,13.366217,13.539925,13.617084,0.600492,35.302928,35.142021,37.027747,38.300006,38.542375,1.034300
AreaScaling,TestScene3,Coverage,40,CPU,32,32,32,8.599512,9.122146,9.395660,9.549515,15.435041,0.825202,22.840887,22.793375,24.271968,24.828885,25.185499,0.890005
AreaScaling,TestScene3,Coverage,40,GPU,32,32,32,8.551102,9.072771,9.357710,9.502612,16.832917,0.849950,22.737895,22.913896,24.324931,24.897904,25.044375,0.960392
AreaScaling,TestScene3,Coverage,100,Fullscreen,32,32,32,19.255185,19.242208,19.416271,19.607125,20.466000,0.138613,53.632330,53.743313,55.571085,56.151533,56.283125,1.064232
AreaScaling,TestScene3,Coverage,100,CPU,32,32,32,19.231241,19.232730,19.347144,19.451401,36.693250,1.388210,53.364052,53.574521,54.406914,55.645037,56.197625,1.412794
AreaScaling,TestScene3,Coverage,100,GPU,32,32,32,19.099756,19.085000,19.275016,19.536755,22.781958,0.298126,52.928094,52.914416,54.563572,55.628896,56.789374,0.885543
AreaScaling,TestScene3,Coverage,0,Fullscreen,32,32,32,8.476843,9.008021,9.247737,9.391698,13.506791,0.758407,22.518413,22.510875,23.703741,24.443602,24.765374,0.841901
AreaScaling,TestScene3,Coverage,0,CPU,32,32,32,0.991590,0.957500,1.576439,2.122693,2.426625,0.310480,1.921828,1.736563,3.163304,3.353378,3.497874,0.518309
AreaScaling,TestScene3,Coverage,0,GPU,32,32,32,1.394347,1.280896,2.585717,2.815293,4.447958,0.450103,2.853800,2.606625,4.127455,4.340791,4.440291,0.669349
StackedStylesScaling,TestScene2,StylesPerObject,16,Fullscreen,32,32,16,6.237227,5.708417,7.340821,7.554728,7.652875,0.757633,16.445712,16.378458,17.843399,18.636226,19.024375,0.828805
StackedStylesScaling,TestScene2,StylesPerObject,16,CPU,32,32,16,1.757725,1.606729,3.024048,3.249545,5.388042,0.498043,3.879513,3.546083,5.172955,5.522007,7.267000,0.786046
StackedStylesScaling,TestScene2,StylesPerObject,16,GPU,32,32,16,1.715824,1.627813,2.873810,3.031337,3.344625,0.419803,3.808770,3.489354,5.012939,5.147637,5.370708,0.679068
StackedStylesScaling,TestScene2,StylesPerObject,1,Fullscreen,32,32,1,2.822398,2.579750,4.048147,4.234897,4.361750,0.557843,6.743080,6.901937,8.013849,8.351078,8.622125,0.823835
StackedStylesScaling,TestScene2,StylesPerObject,1,CPU,32,32,1,1.534499,1.428729,2.747827,3.070235,5.103666,0.459530,3.405952,3.031124,4.698962,5.100981,7.555249,0.777625
StackedStylesScaling,TestScene2,StylesPerObject,1,GPU,32,32,1,1.537475,1.451188,2.702467,2.876440,4.238958,0.451038,3.381873,3.029062,4.588771,5.149739,5.962250,0.713446
StackedStylesScaling,TestScene2,StylesPerObject,8,Fullscreen,32,32,8,4.362017,3.997230,5.464081,5.553228,5.699584,0.633787,10.753278,10.960937,11.519094,11.709336,12.116833,0.683039
StackedStylesScaling,TestScene2,StylesPerObject,8,CPU,32,32,8,1.609988,1.514355,2.767606,2.969091,3.380125,0.421606,3.494102,3.146042,4.674830,5.133037,6.611000,0.709197
StackedStylesScaling,TestScene2,StylesPerObject,8,GPU,32,32,8,1.605112,1.521855,2.768581,2.955180,3.832875,0.425009,3.520379,3.181166,4.660792,4.911528,7.069500,0.701359
StackedStylesScaling,TestScene2,StylesPerObject,2,Fullscreen,32,32,2,3.065071,2.807479,4.259123,4.342918,5.201500,0.572675,7.321188,7.688291,8.277893,8.801025,8.901750,0.797989
StackedStylesScaling,TestScene2,StylesPerObject,2,CPU,32,32,2,1.515860,1.423500,2.713544,2.845258,3.199750,0.411518,3.339116,2.996396,4.513949,4.922633,5.396458,0.664020
StackedStylesScaling,TestScene2,StylesPerObject,2,GPU,32,32,2,1.512501,1.440209,2.642711,2.838500,3.358083,0.410999,3.295244,2.984938,4.474768,4.632548,6.499083,0.683486
